filename,file_mb,sha256_16,stored_width,stored_height,exif_orientation,upright_width,upright_height,capture_time,camera,iso,exposure_s,brightness_mean,brightness_std,blur_laplacian_var
DSC09046.jpeg,13.35,5cf72c726d72d0a2,8448,6336,8,6336,8448,2026:03:09 12:07:57,SONY ILCE-7RM5,125,0.005,132.9,72.3,110.2
DSC09048.jpeg,13.33,2bada719fa353729,8448,6336,8,6336,8448,2026:03:09 12:08:23,SONY ILCE-7RM5,125,0.005,132.3,72.2,115.2
DSC09050.jpeg,14.26,bdbbb0f394ecb225,8448,6336,8,6336,8448,2026:03:09 12:08:53,SONY ILCE-7RM5,125,0.005,127.6,70.9,151.6
DSC09052.jpeg,12.78,895b60ba24c6324a,8448,6336,8,6336,8448,2026:03:09 12:09:24,SONY ILCE-7RM5,125,0.005,133.6,75.5,136.8
DSC09054.jpeg,13.48,9efd1cf5d152c6ae,8448,6336,8,6336,8448,2026:03:09 12:09:42,SONY ILCE-7RM5,125,0.005,132.9,76.0,176.3
DSC09056.jpeg,13.68,a3346a7243edb2c3,8448,6336,8,6336,8448,2026:03:09 12:10:00,SONY ILCE-7RM5,100,0.005,116.7,66.1,114.7
DSC09058.jpeg,12.47,f60dbcc77f6f58ab,8448,6336,8,6336,8448,2026:03:09 12:10:31,SONY ILCE-7RM5,100,0.005,127.9,70.0,122.1
DSC09061.jpeg,13.58,dc18f51f0656a46b,8448,6336,8,6336,8448,2026:03:09 12:10:57,SONY ILCE-7RM5,125,0.005,137.1,71.6,160.5
DSC09064.jpeg,13.33,d846ae9ca036ffe5,8448,6336,8,6336,8448,2026:03:09 12:11:34,SONY ILCE-7RM5,100,0.005,118.6,67.8,139.2
DSC09066.jpeg,13.66,70e41d6f3d0438a5,8448,6336,8,6336,8448,2026:03:09 12:11:52,SONY ILCE-7RM5,125,0.005,130.4,72.7,132.8
DSC09069.jpeg,11.86,a4ac5184c10b58bf,8448,6336,8,6336,8448,2026:03:09 12:12:30,SONY ILCE-7RM5,80,0.005,106.3,67.9,75.5
DSC09071.jpeg,13.0,a6d02616b727a264,8448,6336,8,6336,8448,2026:03:09 12:12:51,SONY ILCE-7RM5,125,0.005,130.6,73.7,130.9
DSC09077.jpeg,12.25,63bf98b115c70d0c,8448,6336,8,6336,8448,2026:03:09 12:14:03,SONY ILCE-7RM5,125,0.005,128.0,73.7,98.2
DSC09079.jpeg,14.19,d09a6be184103bde,8448,6336,8,6336,8448,2026:03:09 12:14:18,SONY ILCE-7RM5,160,0.005,133.4,79.7,177.3
DSC09082.jpeg,14.21,4e436bfde8ac77ba,8448,6336,8,6336,8448,2026:03:09 12:15:10,SONY ILCE-7RM5,160,0.005,140.1,75.8,157.0
DSC09086.jpeg,12.74,18b7d8644527e11a,8448,6336,8,6336,8448,2026:03:09 12:15:54,SONY ILCE-7RM5,160,0.005,141.8,79.0,133.7
DSC09091.jpeg,12.88,241ba2c64af1d64b,8448,6336,8,6336,8448,2026:03:09 12:16:41,SONY ILCE-7RM5,125,0.005,133.0,75.6,120.7
DSC09094.jpeg,11.84,dad64d5c1bd43c35,8448,6336,8,6336,8448,2026:03:09 12:17:21,SONY ILCE-7RM5,125,0.005,136.5,76.8,99.9
DSC09097.jpeg,12.88,9e9cfad40b941d6b,8448,6336,8,6336,8448,2026:03:09 12:17:49,SONY ILCE-7RM5,125,0.005,125.6,78.5,124.2
DSC09099.jpeg,12.0,d37e356c659ee71e,8448,6336,8,6336,8448,2026:03:09 12:18:21,SONY ILCE-7RM5,125,0.005,126.7,75.8,75.1
DSC09101.jpeg,11.59,81fa7a8631dcdcaa,8448,6336,8,6336,8448,2026:03:09 12:19:07,SONY ILCE-7RM5,125,0.005,124.0,81.9,82.2
DSC09103.jpeg,13.25,aa134851d60f1831,8448,6336,8,6336,8448,2026:03:09 12:19:47,SONY ILCE-7RM5,160,0.005,139.8,75.2,152.3
DSC09105.jpeg,13.29,5f38a0e72d7408bc,8448,6336,8,6336,8448,2026:03:09 12:20:04,SONY ILCE-7RM5,160,0.005,137.8,77.9,164.3
