student_id,n_images,sources
S01,1,dslr
S02,1,dslr
S03,1,dslr
S04,1,dslr
S05,1,dslr
S06,1,dslr
S07,1,dslr
S08,1,dslr
S09,1,dslr
S10,1,dslr
S11,1,dslr
S12,1,dslr
S13,1,dslr
S14,1,dslr
S15,1,dslr
S16,1,dslr
S17,1,dslr
S18,1,dslr
S19,1,dslr
S20,1,dslr
S21,1,dslr
S22,1,dslr
S23,1,dslr
S24,1,dslr
S25,1,dslr
S26,1,dslr
S27,1,dslr
S28,1,dslr
S29,1,dslr
S30,1,dslr
S31,1,dslr
S32,1,dslr
S33,1,dslr
S34,1,dslr
S35,1,dslr
S36,1,dslr
S37,1,dslr
S38,1,dslr
S39,1,dslr
S40,1,dslr
S41,1,dslr
S42,1,dslr
S43,1,dslr
S44,1,dslr
S45,1,dslr
S46,1,dslr
S47,1,dslr
S48,1,dslr
S49,1,dslr
S50,1,dslr
S51,1,dslr
S52,1,dslr
S53,1,dslr
S54,1,dslr
S55,1,dslr
S56,1,dslr
